2025-11-28 00:21:07 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:09 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:09 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0b9d4e80-cc1a-11f0-8310-b212ac9cb52f)
2025-11-28 00:21:09 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:09 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:09 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:09 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:09 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:11 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:11 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0ca7e0b0-cc1a-11f0-98f8-6902e13423ea)
2025-11-28 00:21:11 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:11 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:11 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:11 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:11 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:12 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:12 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0dd934c0-cc1a-11f0-90df-38679386d516)
2025-11-28 00:21:12 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:12 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:12 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:12 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:13 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:14 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:14 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0ebbcc90-cc1a-11f0-8e88-60f15105a98c)
2025-11-28 00:21:14 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:14 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:14 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:14 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:15 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:16 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:16 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0fde5390-cc1a-11f0-8a8e-230ad363fc75)
2025-11-28 00:21:16 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:16 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:16 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:16 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:16 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:17 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:17 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 10cafd80-cc1a-11f0-9ed7-f4ddb703fd76)
2025-11-28 00:21:17 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:17 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:17 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:17 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:18 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:19 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:19 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 11d3e200-cc1a-11f0-8c37-495ccc9a8189)
2025-11-28 00:21:19 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:19 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:19 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:19 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:20 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:21 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:21 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 12cbd690-cc1a-11f0-90aa-10a4a44f6563)
2025-11-28 00:21:21 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:21 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:21 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:21 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:21 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:22 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
